*---------------------------------------------------------------------*
*                                                                     *
* Wageningen weather                                                  *
*                                                                     *
* Longitude (east), Latitude (north), Altitude (m) of weather station *
*                                                                     *
* column  Daily weather                                               *
* 1       Year                                                        *
* 2       Day                                                         *
* 3       Minimum temperature                      (degr. C.)         *
* 4       Maximum temperature                      (degr. C.)         *
* 5       Daily total global radiation             (MJ/m2/day)        *
* 6       Rainfall                                 (mm)               *
* 7       Vapour pressure at 9.00 h in the morning (mbar)             *
* 8       Windspeed  (daily average)               (m/s)              *
*---------------------------------------------------------------------*
 5, 52, 0
76   1   2.0   9.7  2.20  14.6  7.3  3.6
76   2   1.9  10.3  1.00  12.1  8.6  6.3
76   3   3.3  11.6  1.89   8.6  5.5 11.7
76   4   2.4   6.6  3.35   0.2  5.5  3.8
76   5   2.0   9.5  0.48   2.3  9.2  4.4
76   6   5.9   9.6  1.50  13.4  9.6  3.1
76   7   6.6   9.4  0.75   0.3  9.6  3.8
76   8   6.3   7.4  0.37   0.0  8.4  4.5
76   9   6.8   8.3  1.25   0.0  9.2  4.6
76  10   6.5  10.1  0.99   6.9  9.5  5.5
76  11   9.3  11.9  0.86   5.9 10.5  6.8
76  12   8.1   9.5  1.14   3.4  9.5  5.6
76  13   6.5   9.4  1.04   2.1  9.8  3.2
76  14   5.5   8.6  0.62   0.5  8.7  6.0
76  15   6.3   8.4  3.32   5.4  8.2  4.6
76  16   7.0   8.3  1.20   1.8  9.6  3.3
76  17   1.5   7.4  3.27   0.0  7.8  1.9
76  18   1.5   5.9  2.10   0.0  7.2  2.8
76  19   3.0   7.9  3.39   1.1  7.9  4.8
76  20   7.0  10.5  0.54   3.3  8.7  9.0
76  21   7.3   7.9  0.93   4.6  6.9  9.0
76  22   5.5  10.0  1.13   0.7  8.3  7.0
76  23   1.1   9.8  1.98   0.0  7.4  6.4
76  24  -1.7   3.9  4.75   5.2  6.1  2.8
76  25  -5.6   2.3  2.21   1.5  5.9  2.0
76  26  -7.1   1.5  4.54   2.3  4.9  2.4
76  27 -11.3   1.9  2.76   3.2  4.8  3.6
76  28 -16.1  -5.3  6.24   0.0  3.0  1.9
76  29 -10.8  -5.3  6.18   0.0  2.5  4.2
76  30  -9.4  -4.9  6.04   0.0  2.5  5.1
76  31  -8.4  -4.7  4.67   0.0  2.7  3.7
76  32  -8.7  -4.4  3.37   0.0  2.9  2.7
76  33  -7.0  -0.9  1.90   0.0  4.2  1.7
76  34  -1.2  -0.3  1.64   0.0  5.5  1.2
76  35  -1.5   0.4  3.28   0.0  5.0  2.4
76  36  -0.7   1.9  2.87   0.0  5.1  4.1
76  37  -1.5   2.3  5.58   0.0  4.8  3.4
76  38  -2.0   1.5  1.97   0.0  5.3  2.0
76  39   0.5   2.6  1.63   0.0  6.5  1.4
76  40   2.0   4.8  1.59   0.0  7.3  2.0
76  41   0.4   7.1  1.56   2.6  7.7  3.3
76  42   0.5   4.5  3.41   2.1  6.0  3.9
76  43   1.0   4.6  2.00   4.6  7.0  4.7
76  44   1.1   5.8  1.45   6.4  7.0  3.6
76  45  -2.3   1.3  2.70   1.8  4.2  4.3
76  46  -1.6   0.0  3.61   0.0  3.8  2.3
76  47  -1.5   1.9  4.08   0.0  5.0  3.5
76  48   1.6   4.0  2.22   0.0  6.0  3.4
76  49   1.1   7.3  6.45   0.0  6.3  2.4
76  50   1.1  12.0  7.99   0.0  7.0  2.7
76  51   3.1  13.0  7.21   0.0  7.5  2.4
76  52   5.4  11.5  5.08   0.0  8.6  2.5
76  53   3.6  12.8  7.58   0.0  6.6  2.7
76  54   0.8  12.6  8.24   0.0  8.0  2.2
76  55   5.0   9.9  1.42   0.3  9.8  3.1
76  56   4.9  10.1  5.45   0.2  9.6  4.0
76  57   3.6   8.8  2.71   0.0  8.8  3.1
76  58   2.0  10.4  4.77   0.0  8.3  1.1
76  59   2.4  13.3 10.19   0.0  7.5  2.0
76  60   1.0   9.3 11.27   6.0  6.6  3.6
76  61  -2.2   9.2 10.34   0.0  6.5  1.3
76  62  -3.2   9.5 12.72   0.0  4.4  3.1
76  63  -0.3   8.9 12.09   0.0  3.5  4.1
76  64  -2.3   3.2 13.14   0.0  3.4  4.3
76  65  -3.5   2.2 11.14   0.0  3.3  3.3
76  66  -4.7   1.2  8.01   0.0  3.6  2.4
76  67  -7.7   1.6  9.24   0.0  3.1  1.1
76  68  -8.1   3.0  9.18   0.0  3.7  0.7
76  69  -9.0   4.0  9.13   0.0  3.8  1.4
76  70  -0.1   7.2  9.25   0.0  3.2  3.0
76  71   0.4   8.9  8.74   0.0  4.3  4.1
76  72   0.6   9.0  9.06   4.2  6.4  2.9
76  73  -2.9  11.5 12.55   0.0  5.4  1.4
76  74   1.5   8.3  6.63   0.0  6.3  2.3
76  75   1.6   5.1  4.61   0.1  6.4  1.8
76  76   0.9   5.0  3.23   0.1  6.6  2.0
76  77   2.3   6.0  3.83   2.1  7.0  1.4
76  78  -1.3   5.9 10.98   0.0  4.2  2.4
76  79  -5.0   7.1 16.65   0.0  3.3  2.5
76  80  -2.5   5.4 16.28   0.0  2.8  4.2
76  81  -4.0   3.8 16.41   0.0  3.1  4.1
76  82  -4.5   5.9 15.67   0.0  3.7  2.6
76  83  -5.5   5.6 14.61   0.0  4.0  1.9
76  84   2.5   9.9  3.72   3.9  9.4  4.8
76  85   1.8   9.3  3.46   7.2  8.1  4.1
76  86   1.6   8.4  5.92   4.3  7.8  4.0
76  87   4.4  11.0  8.66   0.9  8.3  3.6
76  88   4.8   9.1  5.05   0.0  8.0  5.2
76  89   4.3  10.5 10.08   0.8  7.0  4.3
76  90   6.0  11.0  6.81   0.0  7.8  5.8
76  91   8.0  14.8  9.44   0.0  8.3  2.7
76  92   7.2  12.7  9.88   0.0  8.3  3.5
76  93  -0.4   8.9 11.03   4.2  6.3  2.8
76  94  -1.9   9.0  6.85   0.0  5.9  1.5
76  95   1.9  13.4 17.66   0.0  5.9  3.7
