*---------------------------------------------------------------------------*
* Station name: Bologna b. panigale, Italy
* Year: 1990
* Author:                           -99.000: NIL VALUE
* Source: Marco Bindi, Italy
*
* Longitude: 11 19 E, latitude:  44 30 N , altitude: 36 m.
*
* Column  Daily value
* 1       station number
* 2       year
* 3       day
* 4       irradiation                   (kJ m-2 d-1)
* 5       minimum temperature           (degrees Celsius)
* 6       maximum temperature           (degrees Celsius)
* 7       early morning vapour pressure (kPa)
* 8       mean wind speed (height: 2 m) (m s-1)
* 9       precipitation                 (mm d-1)
* Onbruikbaar vanwege teveel ontbrekende  en/of onwaarschijnlijke waarden 
* (hele hoge neerslag)
*---------------------------------------------------------------------------*
   11.32  44.50   36.0   0.  0.
   1 1990   1-99000. -99.0 -99.0  -9.900    .5    .0
   1 1990   2-99000. -99.0 -99.0  -9.900    .0    .0
   1 1990   3-99000. -99.0   2.0  -9.900    .0    .0
   1 1990   4-99000.  -4.6 -99.0  -9.900    .8    .0
   1 1990   5-99000. -99.0 -99.0  -9.900    .3    .0
   1 1990   6-99000.   4.8 -99.0  -9.900    .3    .0
   1 1990   7-99000.   1.7   5.0  -9.900    .2    .0
   1 1990   8-99000. -99.0 -99.0  -9.900    .0    .0
   1 1990   9-99000.    .4   5.3    .640    .3    .0
   1 1990  10-99000.   3.8   8.0  -9.900    .2    .0
   1 1990  11-99000. -99.0 -99.0  -9.900    .3    .0
   1 1990  13-99000.    .4   8.8    .620    .0    .0
   1 1990  14-99000.   1.4   8.0  -9.900    .9    .0
   1 1990  15-99000. -99.0 -99.0  -9.900   1.0    .0
   1 1990  16-99000.   2.0  13.0    .410    .6    .0
   1 1990  17-99000.   2.8  13.6    .650    .0    .0
   1 1990  18-99000.   -.2 -99.0  -9.900    .9    .0
   1 1990  19-99000.    .8  11.3  -9.900    .8    .0
   1 1990  20-99000.    .8   8.6    .710    .0    .0
   1 1990  21-99000.   5.4   9.2  -9.900    .0    .0
   1 1990  22-99000.   6.4   9.6  -9.900    .0    .0
   1 1990  23-99000.   7.2  10.0  -9.900    .3    .0
   1 1990  24-99000. -99.0 -99.0  -9.900    .0    .0
   1 1990  25-99000.    .2   8.2    .680    .0    .0
   1 1990  26-99000.    .0   8.2  -9.900   1.7    .0
   1 1990  27-99000.   -.2 -99.0  -9.900    .4    .0
